"Buurten";"Gemiddeld besteedbaar huishoudeninkomen (x1000 euro)|2020"
"Achtse Barrier-Gunterslaer";49,1
"Achtse Barrier-Hoeven";46,3
"Achtse Barrier-Spaaihoef";54,5
"Barrier";41,9
"BeA2";"."
"Beemden";"."
"Bennekel-Oost";34,7
"Bennekel-West, Gagelbosch";34,8
"Bergen";45,8
"Binnenstad";40,3
"Blaarthem";33,8
"Blixembosch-Oost";65,6
"Blixembosch-West";68,2
"Bloemenplein";36,0
"Bokt";"."
"Bosrijk";73,7
"Burghplan";36,7
"Castiliëlaan";"."
"Doornakkers-Oost";32,0
"Doornakkers-West";37,2
"Drents Dorp";33,7
"Driehoeksbos";74,1
"Eckart";35,2
"Eckartdal";"."
"Eikenburg";74,2
"Eindhoven Airport";"."
"Eliasterrein, Vonderkwartier";47,9
"Elzent-Noord";70,7
"Elzent-Zuid";111,0
"Engelsbergen";55,2
"Esp";"."
"Fellenoord";"."
"Flight Forum";"."
"Genderbeemd";47,1
"Genderdal";31,5
"Generalenbuurt";38,2
"Gennep";"."
"Genneperzijde";53,6
"Gerardusplein";49,6
"Gijzenrooi";67,0
"Gildebuurt";35,1
"Grasrijk";59,2
"Hagenkamp";30,3
"Hanevoet";42,0
"Heesterakker";55,3
"Hemelrijken";29,9
"Herdgang";"."
"Het Ven";37,7
"Hondsheuvels";31,0
"Hurk";"."
"Irisbuurt";45,1
"Jagershoef";33,1
"Joriskwartier";40,7
"Kapelbeemd";"."
"Karpen";150,2
"Kerkdorp Acht";62,7
"Kerstroosplein";33,9
"Koudenhoven";103,2
"Kronehoef";33,7
"Kruidenbuurt";41,2
"Lakerlopen";37,3
"Leenderheide";"."
"Lievendaal";37,7
"Limbeek-Noord";30,4
"Limbeek-Zuid";33,8
"Looiakkers";42,7
"Luytelaer";77,9
"Meerbos";"."
"Meerrijk";47,4
"Mensfort";35,1
"Mispelhoef";"."
"Muschberg, Geestenberg";37,2
"Nieuwe Erven";31,6
"Ooievaarsnest";72,6
"Oude Gracht-Oost";63,9
"Oude Gracht-West";36,2
"Oude Spoorbaan";37,8
"Oude Toren";33,7
"Park Forum";"."
"Philipsdorp";42,1
"Poeijers";"."
"Prinsejagt";38,7
"Puttense Dreef";69,3
"Rapelenburg";41,9
"Rapenland";36,0
"Riel";"."
"Rochusbuurt";39,0
"Roosten";89,4
"Schoot";37,2
"Schouwbroek";39,5
"Schrijversbuurt";52,4
"Schuttersbosch";56,8
"Sintenbuurt";42,8
"Sportpark Aalsterweg";"."
"Strijp S";38,6
"'t Hofke";39,3
"'t Hool";38,6
"Tempel";39,3
"Tivoli";28,9
"Tongelresche Akkers";57,7
"Tuindorp";45,1
"TU-terrein";24,0
"Urkhoven";"."
"Vaartbroek";36,1
"Villapark";84,9
"Vlokhoven";34,3
"Vredeoord";9,6
"Waterrijk";68,9
"Wielewaal";"."
"Winkelcentrum";38,7
"Witte Dame";45,1
"Woenselse Heide";41,9
"Woenselse Watermolen";44,9
"Woensel-West";33,6
"Zandrijk";56,2
"Zwaanstraat";72,3
