,neighbourhood,Amount of parking places,amount of charging stations,Personenauto's overige brandstof|2013,Personenauto's overige brandstof|2014,Personenauto's overige brandstof|2015,Personenauto's overige brandstof|2016,Personenauto's overige brandstof|2017,Personenauto's overige brandstof|2018,Personenauto's overige brandstof|2019,Personenauto's overige brandstof|2020,Personenauto's overige brandstof|2021,Personenauto's overige brandstof|2022,avg_income,Amount of EV proximity parking places
0,'t Hool,28.0,3.0,160,160,145,145,140,145,145,150,150,140,"38,6",0.0
1,Bergen,765.0,6.0,235,260,260,265,265,275,290,275,275,260,"45,8",3.0
2,Binnenstad,1215.0,3.0,325,370,650,740,765,485,465,485,465,460,"40,3",2.0
3,Bloemenplein,153.0,1.0,70,70,70,60,60,55,50,55,60,70,"36,0",2.0
4,Drents Dorp,75.0,6.0,125,125,165,165,170,160,165,185,140,145,"33,7",0.0
5,"Eliasterrein, Vonderkwartier",1064.0,12.0,220,225,215,215,195,185,180,195,185,180,"47,9",1.0
6,Elzent-Noord,551.0,2.0,95,110,115,115,125,120,130,125,120,130,"70,7",0.0
7,Fellenoord,210.0,0.0,10,20,25,20,20,20,30,25,25,40,0,0.0
8,Flight Forum,345.0,1.0,145,160,170,170,150,165,170,155,125,110,.,1.0
9,Gildebuurt,383.0,3.0,85,80,80,85,90,95,85,70,65,85,"35,1",0.0
10,Hagenkamp,17.0,2.0,40,40,30,35,30,45,35,30,40,35,"30,3",0.0
11,Hemelrijken,437.0,4.0,200,180,170,185,170,165,170,160,185,190,"29,9",0.0
12,Irisbuurt,262.0,4.0,185,195,195,210,200,200,205,210,215,230,"45,1",0.0
13,Joriskwartier,76.0,5.0,65,55,70,75,70,70,70,75,70,80,"40,7",0.0
14,Karpen,85.0,1.0,55,65,70,65,65,65,75,75,75,75,"150,2",0.0
15,Lakerlopen,23.0,6.0,230,210,210,230,225,230,235,210,215,225,"37,3",0.0
16,Limbeek-Noord,9.0,2.0,140,140,140,120,140,135,120,80,120,105,"30,4",0.0
17,Limbeek-Zuid,177.0,1.0,50,50,50,60,60,65,55,95,55,65,"33,8",0.0
18,Looiakkers,211.0,1.0,45,35,35,40,45,50,55,40,55,60,"42,7",2.0
19,Oude Spoorbaan,261.0,6.0,135,130,125,135,125,125,120,120,105,110,"37,8",0.0
20,Philipsdorp,207.0,4.0,130,180,170,175,165,180,185,175,150,160,"42,1",0.0
21,Rapenland,77.0,4.0,320,350,275,235,210,205,180,155,175,160,"36,0",0.0
22,Rochusbuurt,106.0,2.0,80,70,85,70,75,90,100,90,90,85,"39,0",0.0
23,Schoot,418.0,5.0,170,165,160,165,165,150,155,155,150,155,"37,2",0.0
24,Schouwbroek,8.0,3.0,85,80,80,80,80,90,85,85,85,80,"39,5",0.0
25,Schrijversbuurt,822.0,7.0,255,265,255,250,260,270,260,270,270,265,"52,4",1.0
26,Strijp S,252.0,5.0,20,50,65,75,80,120,130,140,150,160,"38,6",2.0
27,TU-terrein,303.0,4.0,20,20,20,15,20,20,20,15,10,10,"24,0",1.0
28,Villapark,472.0,6.0,160,160,170,180,200,205,205,220,230,240,"84,9",0.0
29,Winkelcentrum,1912.0,1.0,45,45,40,45,40,40,35,35,45,45,"38,7",2.0
30,Witte Dame,219.0,1.0,545,540,625,610,600,755,665,110,120,120,"45,1",1.0
31,Woensel-West,3.0,9.0,270,230,205,205,205,175,170,190,205,225,"33,6",0.0
32,Woenselse Watermolen,149.0,2.0,75,70,65,60,70,85,85,75,80,70,"44,9",0.0
33,Zandrijk,29.0,4.0,230,220,235,230,225,235,255,245,245,265,"56,2",0.0
34,Zwaanstraat,13.0,6.0,0,20,25,30,40,70,85,90,135,415,"72,3",0.0
35,Grasrijk,0.0,16.0,380,380,360,390,435,470,470,460,490,525,"59,2",0.0
36,Woenselse Heide,0.0,13.0,425,385,400,480,460,435,430,465,490,545,"41,9",0.0
37,Blixembosch-Oost,0.0,11.0,560,560,565,565,605,625,650,650,685,710,"65,6",0.0
38,Kronehoef,0.0,10.0,200,190,190,190,200,205,185,190,210,235,"33,7",0.0
