Objectid ,Straat ,Type_en_merk ,Aantal ,geo_shape,geo_point_2d,neighbourhood,avg_income
95,Marconilaan,Parkeerplaats,1.0,"{""coordinates"": [5.457883100818988, 51.450176173744275], ""type"": ""Point""}","51.450176173744275, 5.457883100818988",Woensel-West,"33,6"
100,Veldmaarschalk Montgomerylaan,Parkeerplaats Gehandicapten,1.0,"{""coordinates"": [5.471091820717634, 51.44533602001621], ""type"": ""Point""}","51.44533602001621, 5.471091820717634",Hemelrijken,"29,9"
104,Veldmaarschalk Montgomerylaan,Parkeerplaats,1.0,"{""coordinates"": [5.470953417483847, 51.445463318323576], ""type"": ""Point""}","51.445463318323576, 5.470953417483847",Hemelrijken,"29,9"
105,Veldmaarschalk Montgomerylaan,Parkeerplaats,1.0,"{""coordinates"": [5.470993711728869, 51.44542601331786], ""type"": ""Point""}","51.44542601331786, 5.470993711728869",Hemelrijken,"29,9"
108,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.4841236572819625, 51.44487323909643], ""type"": ""Point""}","51.44487323909643, 5.4841236572819625",TU-terrein,"24,0"
111,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.484244332061644, 51.44488243285823], ""type"": ""Point""}","51.44488243285823, 5.484244332061644",TU-terrein,"24,0"
114,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.484343529009412, 51.4448906107205], ""type"": ""Point""}","51.4448906107205, 5.484343529009412",TU-terrein,"24,0"
115,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.484378244800656, 51.444893682840444], ""type"": ""Point""}","51.444893682840444, 5.484378244800656",TU-terrein,"24,0"
116,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.484411304205162, 51.444895722636176], ""type"": ""Point""}","51.444895722636176, 5.484411304205162",TU-terrein,"24,0"
117,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.484441055216448, 51.44489775619705], ""type"": ""Point""}","51.44489775619705, 5.484441055216448",TU-terrein,"24,0"
123,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.484067034745376, 51.44467394452511], ""type"": ""Point""}","51.44467394452511, 5.484067034745376",TU-terrein,"24,0"
124,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.484062139229609, 51.444698739344986], ""type"": ""Point""}","51.444698739344986, 5.484062139229609",TU-terrein,"24,0"
129,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.48403594981002, 51.444822696887336], ""type"": ""Point""}","51.444822696887336, 5.48403594981002",TU-terrein,"24,0"
130,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.484099792428469, 51.44452725815476], ""type"": ""Point""}","51.44452725815476, 5.484099792428469",TU-terrein,"24,0"
132,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.484109597760943, 51.44447766849911], ""type"": ""Point""}","51.44447766849911, 5.484109597760943",TU-terrein,"24,0"
146,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.484230658150917, 51.44466863979336], ""type"": ""Point""}","51.44466863979336, 5.484230658150917",TU-terrein,"24,0"
149,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.484212641298827, 51.44474611914978], ""type"": ""Point""}","51.44474611914978, 5.484212641298827",TU-terrein,"24,0"
153,Professor Dr Dorgelolaan,Parkeerplaats,1.0,"{""coordinates"": [5.484261762121052, 51.444529181645045], ""type"": ""Point""}","51.444529181645045, 5.484261762121052",TU-terrein,"24,0"
154,Michelangelolaan,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.473592724980929, 51.464409729996646], ""type"": ""Point""}","51.464409729996646, 5.473592724980929",Rapenland,"36,0"
156,Michelangelolaan,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.473749976284599, 51.464413442384526], ""type"": ""Point""}","51.464413442384526, 5.473749976284599",Rapenland,"36,0"
158,Michelangelolaan,Parkeerplaats Afgekruist,1.0,"{""coordinates"": [5.473547800531344, 51.464411039709105], ""type"": ""Point""}","51.464411039709105, 5.473547800531344",Rapenland,"36,0"
159,Michelangelolaan,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.472596160303673, 51.464387508121355], ""type"": ""Point""}","51.464387508121355, 5.472596160303673",Rapenland,"36,0"
164,Michelangelolaan,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.473016835033399, 51.4643948481797], ""type"": ""Point""}","51.4643948481797, 5.473016835033399",Rapenland,"36,0"
165,Michelangelolaan,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.47311486970672, 51.46439860505227], ""type"": ""Point""}","51.46439860505227, 5.47311486970672",Rapenland,"36,0"
